BondIDType,BondID,Price,Spread1,Spread2,Spread3,Spread4,Spread5,Size1,Size2,Size3,Size4,Size5
CUSIP,912810RJ9,99-000,0-002,0-00+,0-006,0-010,0-012,10000000,20000000,30000000,40000000,50000000
CUSIP,912810UE6,99-000,0-002,0-00+,0-006,0-010,0-012,10000000,20000000,30000000,40000000,50000000
CUSIP,912828YU8,99-000,0-002,0-00+,0-006,0-010,0-012,10000000,20000000,30000000,40000000,50000000
CUSIP,91282CAY7,99-000,0-002,0-00+,0-006,0-010,0-012,10000000,20000000,30000000,40000000,50000000
CUSIP,91282CDJ7,99-000,0-002,0-00+,0-006,0-010,0-012,10000000,20000000,30000000,40000000,50000000
CUSIP,91282CFY2,99-000,0-002,0-00+,0-006,0-010,0-012,10000000,20000000,30000000,40000000,50000000
CUSIP,91282CLW9,99-000,0-002,0-00+,0-006,0-010,0-012,10000000,20000000,30000000,40000000,50000000
CUSIP,912810RJ9,99-001,0-00+,0-006,0-010,0-012,0-01+,10000000,20000000,30000000,40000000,50000000
CUSIP,912810UE6,99-001,0-00+,0-006,0-010,0-012,0-01+,10000000,20000000,30000000,40000000,50000000
CUSIP,912828YU8,99-001,0-00+,0-006,0-010,0-012,0-01+,10000000,20000000,30000000,40000000,50000000
CUSIP,91282CAY7,99-001,0-00+,0-006,0-010,0-012,0-01+,10000000,20000000,30000000,40000000,50000000
CUSIP,91282CDJ7,99-001,0-00+,0-006,0-010,0-012,0-01+,10000000,20000000,30000000,40000000,50000000
CUSIP,91282CFY2,99-001,0-00+,0-006,0-010,0-012,0-01+,10000000,20000000,30000000,40000000,50000000
CUSIP,91282CLW9,99-001,0-00+,0-006,0-010,0-012,0-01+,10000000,20000000,30000000,40000000,50000000
CUSIP,912810RJ9,99-002,0-006,0-010,0-012,0-01+,0-016,10000000,20000000,30000000,40000000,50000000
CUSIP,912810UE6,99-002,0-006,0-010,0-012,0-01+,0-016,10000000,20000000,30000000,40000000,50000000
CUSIP,912828YU8,99-002,0-006,0-010,0-012,0-01+,0-016,10000000,20000000,30000000,40000000,50000000
CUSIP,91282CAY7,99-002,0-006,0-010,0-012,0-01+,0-016,10000000,20000000,30000000,40000000,50000000
CUSIP,91282CDJ7,99-002,0-006,0-010,0-012,0-01+,0-016,10000000,20000000,30000000,40000000,50000000
CUSIP,91282CFY2,99-002,0-006,0-010,0-012,0-01+,0-016,10000000,20000000,30000000,40000000,50000000
