BondIDType,BondID,Price,Spread
CUSIP,912810RJ9,99-000,0-00+
CUSIP,912810UE6,99-000,0-00+
CUSIP,912828YU8,99-000,0-00+
CUSIP,91282CAY7,99-000,0-00+
CUSIP,91282CDJ7,99-000,0-00+
CUSIP,91282CFY2,99-000,0-00+
CUSIP,91282CLW9,99-000,0-00+
CUSIP,912810RJ9,99-001,0-002
CUSIP,912810UE6,99-001,0-002
CUSIP,912828YU8,99-001,0-002
CUSIP,91282CAY7,99-001,0-002
CUSIP,91282CDJ7,99-001,0-002
CUSIP,91282CFY2,99-001,0-002
CUSIP,91282CLW9,99-001,0-002
CUSIP,912810RJ9,99-002,0-00+
CUSIP,912810UE6,99-002,0-00+
CUSIP,912828YU8,99-002,0-00+
CUSIP,91282CAY7,99-002,0-00+
CUSIP,91282CDJ7,99-002,0-00+
CUSIP,91282CFY2,99-002,0-00+
CUSIP,91282CLW9,99-002,0-00+
CUSIP,912810RJ9,99-003,0-002
CUSIP,912810UE6,99-003,0-002
CUSIP,912828YU8,99-003,0-002
CUSIP,91282CAY7,99-003,0-002
CUSIP,91282CDJ7,99-003,0-002
CUSIP,91282CFY2,99-003,0-002
CUSIP,91282CLW9,99-003,0-002
CUSIP,912810RJ9,99-00+,0-00+
CUSIP,912810UE6,99-00+,0-00+
CUSIP,912828YU8,99-00+,0-00+
CUSIP,91282CAY7,99-00+,0-00+
CUSIP,91282CDJ7,99-00+,0-00+
CUSIP,91282CFY2,99-00+,0-00+
CUSIP,91282CLW9,99-00+,0-00+
CUSIP,912810RJ9,99-005,0-002
CUSIP,912810UE6,99-005,0-002
CUSIP,912828YU8,99-005,0-002
CUSIP,91282CAY7,99-005,0-002
CUSIP,91282CDJ7,99-005,0-002
CUSIP,91282CFY2,99-005,0-002
CUSIP,91282CLW9,99-005,0-002
CUSIP,912810RJ9,99-006,0-00+
CUSIP,912810UE6,99-006,0-00+
CUSIP,912828YU8,99-006,0-00+
CUSIP,91282CAY7,99-006,0-00+
CUSIP,91282CDJ7,99-006,0-00+
CUSIP,91282CFY2,99-006,0-00+
CUSIP,91282CLW9,99-006,0-00+
CUSIP,912810RJ9,99-007,0-002
CUSIP,912810UE6,99-007,0-002
CUSIP,912828YU8,99-007,0-002
CUSIP,91282CAY7,99-007,0-002
CUSIP,91282CDJ7,99-007,0-002
CUSIP,91282CFY2,99-007,0-002
CUSIP,91282CLW9,99-007,0-002
CUSIP,912810RJ9,99-010,0-00+
CUSIP,912810UE6,99-010,0-00+
CUSIP,912828YU8,99-010,0-00+
CUSIP,91282CAY7,99-010,0-00+
CUSIP,91282CDJ7,99-010,0-00+
CUSIP,91282CFY2,99-010,0-00+
CUSIP,91282CLW9,99-010,0-00+
CUSIP,912810RJ9,99-011,0-002
CUSIP,912810UE6,99-011,0-002
CUSIP,912828YU8,99-011,0-002
CUSIP,91282CAY7,99-011,0-002
CUSIP,91282CDJ7,99-011,0-002
CUSIP,91282CFY2,99-011,0-002
CUSIP,91282CLW9,99-011,0-002
CUSIP,912810RJ9,99-012,0-00+
CUSIP,912810UE6,99-012,0-00+
CUSIP,912828YU8,99-012,0-00+
CUSIP,91282CAY7,99-012,0-00+
CUSIP,91282CDJ7,99-012,0-00+
CUSIP,91282CFY2,99-012,0-00+
CUSIP,91282CLW9,99-012,0-00+
CUSIP,912810RJ9,99-013,0-002
CUSIP,912810UE6,99-013,0-002
CUSIP,912828YU8,99-013,0-002
CUSIP,91282CAY7,99-013,0-002
CUSIP,91282CDJ7,99-013,0-002
CUSIP,91282CFY2,99-013,0-002
CUSIP,91282CLW9,99-013,0-002
CUSIP,912810RJ9,99-01+,0-00+
CUSIP,912810UE6,99-01+,0-00+
CUSIP,912828YU8,99-01+,0-00+
CUSIP,91282CAY7,99-01+,0-00+
CUSIP,91282CDJ7,99-01+,0-00+
CUSIP,91282CFY2,99-01+,0-00+
CUSIP,91282CLW9,99-01+,0-00+
CUSIP,912810RJ9,99-015,0-002
CUSIP,912810UE6,99-015,0-002
CUSIP,912828YU8,99-015,0-002
CUSIP,91282CAY7,99-015,0-002
CUSIP,91282CDJ7,99-015,0-002
CUSIP,91282CFY2,99-015,0-002
CUSIP,91282CLW9,99-015,0-002
CUSIP,912810RJ9,99-016,0-00+
CUSIP,912810UE6,99-016,0-00+
CUSIP,912828YU8,99-016,0-00+
CUSIP,91282CAY7,99-016,0-00+
CUSIP,91282CDJ7,99-016,0-00+
CUSIP,91282CFY2,99-016,0-00+
CUSIP,91282CLW9,99-016,0-00+
CUSIP,912810RJ9,99-017,0-002
CUSIP,912810UE6,99-017,0-002
CUSIP,912828YU8,99-017,0-002
CUSIP,91282CAY7,99-017,0-002
CUSIP,91282CDJ7,99-017,0-002
CUSIP,91282CFY2,99-017,0-002
CUSIP,91282CLW9,99-017,0-002
CUSIP,912810RJ9,99-020,0-00+
CUSIP,912810UE6,99-020,0-00+
CUSIP,912828YU8,99-020,0-00+
CUSIP,91282CAY7,99-020,0-00+
CUSIP,91282CDJ7,99-020,0-00+
CUSIP,91282CFY2,99-020,0-00+
CUSIP,91282CLW9,99-020,0-00+
CUSIP,912810RJ9,99-021,0-002
CUSIP,912810UE6,99-021,0-002
CUSIP,912828YU8,99-021,0-002
CUSIP,91282CAY7,99-021,0-002
CUSIP,91282CDJ7,99-021,0-002
CUSIP,91282CFY2,99-021,0-002
CUSIP,91282CLW9,99-021,0-002
CUSIP,912810RJ9,99-022,0-00+
CUSIP,912810UE6,99-022,0-00+
CUSIP,912828YU8,99-022,0-00+
CUSIP,91282CAY7,99-022,0-00+
CUSIP,91282CDJ7,99-022,0-00+
CUSIP,91282CFY2,99-022,0-00+
CUSIP,91282CLW9,99-022,0-00+
CUSIP,912810RJ9,99-023,0-002
CUSIP,912810UE6,99-023,0-002
CUSIP,912828YU8,99-023,0-002
CUSIP,91282CAY7,99-023,0-002
CUSIP,91282CDJ7,99-023,0-002
CUSIP,91282CFY2,99-023,0-002
CUSIP,91282CLW9,99-023,0-002
CUSIP,912810RJ9,99-02+,0-00+
CUSIP,912810UE6,99-02+,0-00+
CUSIP,912828YU8,99-02+,0-00+
CUSIP,91282CAY7,99-02+,0-00+
CUSIP,91282CDJ7,99-02+,0-00+
CUSIP,91282CFY2,99-02+,0-00+
CUSIP,91282CLW9,99-02+,0-00+
CUSIP,912810RJ9,99-025,0-002
CUSIP,912810UE6,99-025,0-002
CUSIP,912828YU8,99-025,0-002
CUSIP,91282CAY7,99-025,0-002
CUSIP,91282CDJ7,99-025,0-002
CUSIP,91282CFY2,99-025,0-002
CUSIP,91282CLW9,99-025,0-002
CUSIP,912810RJ9,99-026,0-00+
CUSIP,912810UE6,99-026,0-00+
CUSIP,912828YU8,99-026,0-00+
CUSIP,91282CAY7,99-026,0-00+
CUSIP,91282CDJ7,99-026,0-00+
CUSIP,91282CFY2,99-026,0-00+
CUSIP,91282CLW9,99-026,0-00+
CUSIP,912810RJ9,99-027,0-002
CUSIP,912810UE6,99-027,0-002
CUSIP,912828YU8,99-027,0-002
CUSIP,91282CAY7,99-027,0-002
CUSIP,91282CDJ7,99-027,0-002
CUSIP,91282CFY2,99-027,0-002
CUSIP,91282CLW9,99-027,0-002
CUSIP,912810RJ9,99-030,0-00+
CUSIP,912810UE6,99-030,0-00+
CUSIP,912828YU8,99-030,0-00+
CUSIP,91282CAY7,99-030,0-00+
CUSIP,91282CDJ7,99-030,0-00+
CUSIP,91282CFY2,99-030,0-00+
CUSIP,91282CLW9,99-030,0-00+
CUSIP,912810RJ9,99-031,0-002
CUSIP,912810UE6,99-031,0-002
CUSIP,912828YU8,99-031,0-002
CUSIP,91282CAY7,99-031,0-002
CUSIP,91282CDJ7,99-031,0-002
CUSIP,91282CFY2,99-031,0-002
CUSIP,91282CLW9,99-031,0-002
CUSIP,912810RJ9,99-032,0-00+
CUSIP,912810UE6,99-032,0-00+
CUSIP,912828YU8,99-032,0-00+
CUSIP,91282CAY7,99-032,0-00+
CUSIP,91282CDJ7,99-032,0-00+
CUSIP,91282CFY2,99-032,0-00+
CUSIP,91282CLW9,99-032,0-00+
CUSIP,912810RJ9,99-033,0-002
CUSIP,912810UE6,99-033,0-002
CUSIP,912828YU8,99-033,0-002
CUSIP,91282CAY7,99-033,0-002
CUSIP,91282CDJ7,99-033,0-002
CUSIP,91282CFY2,99-033,0-002
CUSIP,91282CLW9,99-033,0-002
CUSIP,912810RJ9,99-03+,0-00+
CUSIP,912810UE6,99-03+,0-00+
CUSIP,912828YU8,99-03+,0-00+
CUSIP,91282CAY7,99-03+,0-00+
CUSIP,91282CDJ7,99-03+,0-00+
CUSIP,91282CFY2,99-03+,0-00+
CUSIP,91282CLW9,99-03+,0-00+
CUSIP,912810RJ9,99-035,0-002
CUSIP,912810UE6,99-035,0-002
CUSIP,912828YU8,99-035,0-002
CUSIP,91282CAY7,99-035,0-002
CUSIP,91282CDJ7,99-035,0-002
CUSIP,91282CFY2,99-035,0-002
CUSIP,91282CLW9,99-035,0-002
CUSIP,912810RJ9,99-036,0-00+
CUSIP,912810UE6,99-036,0-00+
CUSIP,912828YU8,99-036,0-00+
CUSIP,91282CAY7,99-036,0-00+
CUSIP,91282CDJ7,99-036,0-00+
CUSIP,91282CFY2,99-036,0-00+
CUSIP,91282CLW9,99-036,0-00+
CUSIP,912810RJ9,99-037,0-002
CUSIP,912810UE6,99-037,0-002
CUSIP,912828YU8,99-037,0-002
CUSIP,91282CAY7,99-037,0-002
CUSIP,91282CDJ7,99-037,0-002
CUSIP,91282CFY2,99-037,0-002
CUSIP,91282CLW9,99-037,0-002
CUSIP,912810RJ9,99-040,0-00+
CUSIP,912810UE6,99-040,0-00+
CUSIP,912828YU8,99-040,0-00+
CUSIP,91282CAY7,99-040,0-00+
CUSIP,91282CDJ7,99-040,0-00+
CUSIP,91282CFY2,99-040,0-00+
CUSIP,91282CLW9,99-040,0-00+
CUSIP,912810RJ9,99-041,0-002
CUSIP,912810UE6,99-041,0-002
CUSIP,912828YU8,99-041,0-002
CUSIP,91282CAY7,99-041,0-002
CUSIP,91282CDJ7,99-041,0-002
CUSIP,91282CFY2,99-041,0-002
CUSIP,91282CLW9,99-041,0-002
CUSIP,912810RJ9,99-042,0-00+
CUSIP,912810UE6,99-042,0-00+
CUSIP,912828YU8,99-042,0-00+
CUSIP,91282CAY7,99-042,0-00+
CUSIP,91282CDJ7,99-042,0-00+
CUSIP,91282CFY2,99-042,0-00+
CUSIP,91282CLW9,99-042,0-00+
CUSIP,912810RJ9,99-043,0-002
CUSIP,912810UE6,99-043,0-002
CUSIP,912828YU8,99-043,0-002
CUSIP,91282CAY7,99-043,0-002
CUSIP,91282CDJ7,99-043,0-002
CUSIP,91282CFY2,99-043,0-002
CUSIP,91282CLW9,99-043,0-002
CUSIP,912810RJ9,99-04+,0-00+
CUSIP,912810UE6,99-04+,0-00+
CUSIP,912828YU8,99-04+,0-00+
CUSIP,91282CAY7,99-04+,0-00+
CUSIP,91282CDJ7,99-04+,0-00+
CUSIP,91282CFY2,99-04+,0-00+
CUSIP,91282CLW9,99-04+,0-00+
CUSIP,912810RJ9,99-045,0-002
CUSIP,912810UE6,99-045,0-002
CUSIP,912828YU8,99-045,0-002
CUSIP,91282CAY7,99-045,0-002
CUSIP,91282CDJ7,99-045,0-002
CUSIP,91282CFY2,99-045,0-002
CUSIP,91282CLW9,99-045,0-002
CUSIP,912810RJ9,99-046,0-00+
CUSIP,912810UE6,99-046,0-00+
CUSIP,912828YU8,99-046,0-00+
CUSIP,91282CAY7,99-046,0-00+
CUSIP,91282CDJ7,99-046,0-00+
CUSIP,91282CFY2,99-046,0-00+
CUSIP,91282CLW9,99-046,0-00+
CUSIP,912810RJ9,99-047,0-002
CUSIP,912810UE6,99-047,0-002
CUSIP,912828YU8,99-047,0-002
CUSIP,91282CAY7,99-047,0-002
CUSIP,91282CDJ7,99-047,0-002
CUSIP,91282CFY2,99-047,0-002
CUSIP,91282CLW9,99-047,0-002
CUSIP,912810RJ9,99-050,0-00+
CUSIP,912810UE6,99-050,0-00+
CUSIP,912828YU8,99-050,0-00+
CUSIP,91282CAY7,99-050,0-00+
CUSIP,91282CDJ7,99-050,0-00+
CUSIP,91282CFY2,99-050,0-00+
CUSIP,91282CLW9,99-050,0-00+
CUSIP,912810RJ9,99-051,0-002
CUSIP,912810UE6,99-051,0-002
CUSIP,912828YU8,99-051,0-002
CUSIP,91282CAY7,99-051,0-002
CUSIP,91282CDJ7,99-051,0-002
CUSIP,91282CFY2,99-051,0-002
CUSIP,91282CLW9,99-051,0-002
CUSIP,912810RJ9,99-052,0-00+
CUSIP,912810UE6,99-052,0-00+
CUSIP,912828YU8,99-052,0-00+
CUSIP,91282CAY7,99-052,0-00+
CUSIP,91282CDJ7,99-052,0-00+
CUSIP,91282CFY2,99-052,0-00+
CUSIP,91282CLW9,99-052,0-00+
CUSIP,912810RJ9,99-053,0-002
CUSIP,912810UE6,99-053,0-002
CUSIP,912828YU8,99-053,0-002
CUSIP,91282CAY7,99-053,0-002
CUSIP,91282CDJ7,99-053,0-002
CUSIP,91282CFY2,99-053,0-002
CUSIP,91282CLW9,99-053,0-002
CUSIP,912810RJ9,99-05+,0-00+
CUSIP,912810UE6,99-05+,0-00+
CUSIP,912828YU8,99-05+,0-00+
CUSIP,91282CAY7,99-05+,0-00+
CUSIP,91282CDJ7,99-05+,0-00+
CUSIP,91282CFY2,99-05+,0-00+
CUSIP,91282CLW9,99-05+,0-00+
CUSIP,912810RJ9,99-055,0-002
CUSIP,912810UE6,99-055,0-002
CUSIP,912828YU8,99-055,0-002
CUSIP,91282CAY7,99-055,0-002
CUSIP,91282CDJ7,99-055,0-002
CUSIP,91282CFY2,99-055,0-002
CUSIP,91282CLW9,99-055,0-002
CUSIP,912810RJ9,99-056,0-00+
CUSIP,912810UE6,99-056,0-00+
CUSIP,912828YU8,99-056,0-00+
CUSIP,91282CAY7,99-056,0-00+
CUSIP,91282CDJ7,99-056,0-00+
