TradeID,BondIDType,BondID,Side,Quantity,Price,BookId
TRS2044T001,CUSIP,912810RJ9,BUY,1000000,99-000,TRSY1
TRS2054T002,CUSIP,912810UE6,BUY,1000000,99-000,TRSY1
TRS2026T003,CUSIP,912828YU8,BUY,1000000,99-000,TRSY1
TRS2027T004,CUSIP,91282CAY7,BUY,1000000,99-000,TRSY1
TRS2031T005,CUSIP,91282CDJ7,BUY,1000000,99-000,TRSY1
TRS2029T006,CUSIP,91282CFY2,BUY,1000000,99-000,TRSY1
TRS2034T007,CUSIP,91282CLW9,BUY,1000000,99-000,TRSY1
TRS2044T008,CUSIP,912810RJ9,SELL,2000000,100-000,TRSY2
TRS2054T009,CUSIP,912810UE6,SELL,2000000,100-000,TRSY2
TRS2026T010,CUSIP,912828YU8,SELL,2000000,100-000,TRSY2
TRS2027T011,CUSIP,91282CAY7,SELL,2000000,100-000,TRSY2
TRS2031T012,CUSIP,91282CDJ7,SELL,2000000,100-000,TRSY2
TRS2029T013,CUSIP,91282CFY2,SELL,2000000,100-000,TRSY2
TRS2034T014,CUSIP,91282CLW9,SELL,2000000,100-000,TRSY2
TRS2044T015,CUSIP,912810RJ9,BUY,3000000,99-000,TRSY3
TRS2054T016,CUSIP,912810UE6,BUY,3000000,99-000,TRSY3
TRS2026T017,CUSIP,912828YU8,BUY,3000000,99-000,TRSY3
TRS2027T018,CUSIP,91282CAY7,BUY,3000000,99-000,TRSY3
TRS2031T019,CUSIP,91282CDJ7,BUY,3000000,99-000,TRSY3
TRS2029T020,CUSIP,91282CFY2,BUY,3000000,99-000,TRSY3
TRS2034T021,CUSIP,91282CLW9,BUY,3000000,99-000,TRSY3
TRS2044T022,CUSIP,912810RJ9,SELL,4000000,100-000,TRSY1
TRS2054T023,CUSIP,912810UE6,SELL,4000000,100-000,TRSY1
TRS2026T024,CUSIP,912828YU8,SELL,4000000,100-000,TRSY1
TRS2027T025,CUSIP,91282CAY7,SELL,4000000,100-000,TRSY1
TRS2031T026,CUSIP,91282CDJ7,SELL,4000000,100-000,TRSY1
TRS2029T027,CUSIP,91282CFY2,SELL,4000000,100-000,TRSY1
TRS2034T028,CUSIP,91282CLW9,SELL,4000000,100-000,TRSY1
TRS2044T029,CUSIP,912810RJ9,BUY,5000000,99-000,TRSY2
TRS2054T030,CUSIP,912810UE6,BUY,5000000,99-000,TRSY2
TRS2026T031,CUSIP,912828YU8,BUY,5000000,99-000,TRSY2
TRS2027T032,CUSIP,91282CAY7,BUY,5000000,99-000,TRSY2
TRS2031T033,CUSIP,91282CDJ7,BUY,5000000,99-000,TRSY2
TRS2029T034,CUSIP,91282CFY2,BUY,5000000,99-000,TRSY2
TRS2034T035,CUSIP,91282CLW9,BUY,5000000,99-000,TRSY2
TRS2044T036,CUSIP,912810RJ9,SELL,1000000,100-000,TRSY3
TRS2054T037,CUSIP,912810UE6,SELL,1000000,100-000,TRSY3
TRS2026T038,CUSIP,912828YU8,SELL,1000000,100-000,TRSY3
TRS2027T039,CUSIP,91282CAY7,SELL,1000000,100-000,TRSY3
TRS2031T040,CUSIP,91282CDJ7,SELL,1000000,100-000,TRSY3
TRS2029T041,CUSIP,91282CFY2,SELL,1000000,100-000,TRSY3
TRS2034T042,CUSIP,91282CLW9,SELL,1000000,100-000,TRSY3
TRS2044T043,CUSIP,912810RJ9,BUY,2000000,99-000,TRSY1
TRS2054T044,CUSIP,912810UE6,BUY,2000000,99-000,TRSY1
TRS2026T045,CUSIP,912828YU8,BUY,2000000,99-000,TRSY1
TRS2027T046,CUSIP,91282CAY7,BUY,2000000,99-000,TRSY1
TRS2031T047,CUSIP,91282CDJ7,BUY,2000000,99-000,TRSY1
TRS2029T048,CUSIP,91282CFY2,BUY,2000000,99-000,TRSY1
TRS2034T049,CUSIP,91282CLW9,BUY,2000000,99-000,TRSY1
TRS2044T050,CUSIP,912810RJ9,SELL,3000000,100-000,TRSY2
TRS2054T051,CUSIP,912810UE6,SELL,3000000,100-000,TRSY2
TRS2026T052,CUSIP,912828YU8,SELL,3000000,100-000,TRSY2
TRS2027T053,CUSIP,91282CAY7,SELL,3000000,100-000,TRSY2
TRS2031T054,CUSIP,91282CDJ7,SELL,3000000,100-000,TRSY2
TRS2029T055,CUSIP,91282CFY2,SELL,3000000,100-000,TRSY2
TRS2034T056,CUSIP,91282CLW9,SELL,3000000,100-000,TRSY2
TRS2044T057,CUSIP,912810RJ9,BUY,4000000,99-000,TRSY3
TRS2054T058,CUSIP,912810UE6,BUY,4000000,99-000,TRSY3
TRS2026T059,CUSIP,912828YU8,BUY,4000000,99-000,TRSY3
TRS2027T060,CUSIP,91282CAY7,BUY,4000000,99-000,TRSY3
TRS2031T061,CUSIP,91282CDJ7,BUY,4000000,99-000,TRSY3
TRS2029T062,CUSIP,91282CFY2,BUY,4000000,99-000,TRSY3
TRS2034T063,CUSIP,91282CLW9,BUY,4000000,99-000,TRSY3
TRS2044T064,CUSIP,912810RJ9,SELL,5000000,100-000,TRSY1
TRS2054T065,CUSIP,912810UE6,SELL,5000000,100-000,TRSY1
TRS2026T066,CUSIP,912828YU8,SELL,5000000,100-000,TRSY1
TRS2027T067,CUSIP,91282CAY7,SELL,5000000,100-000,TRSY1
TRS2031T068,CUSIP,91282CDJ7,SELL,5000000,100-000,TRSY1
TRS2029T069,CUSIP,91282CFY2,SELL,5000000,100-000,TRSY1
TRS2034T070,CUSIP,91282CLW9,SELL,5000000,100-000,TRSY1
